"Q","P","Y"
7.6007,4.62006,7.8588
7.64156,4.58599,7.8385
7.72568,4.58599,7.89611
7.806,4.57265,7.96046
7.90267,4.54116,7.96572
7.93562,4.51415,7.98582
7.95935,4.56643,8.00149
7.96652,4.57883,8.01298
8.02063,4.56851,7.99897
8.04837,4.55913,8.05506
8.06731,4.54223,8.07912
8.04767,4.53367,8.09773
8.08696,4.54116,8.14381
8.13385,4.54754,8.17749
8.14043,4.55388,8.19282
8.08225,4.63084,8.21021
8.0625,4.63279,8.22513
8.10001,4.61413,8.22735
8.107,4.60517,8.2716
8.13406,4.57677,8.31157
8.13921,4.54436,8.34676
8.17363,4.48413,8.38517
8.13238,4.49312,8.44294
