"","species","location","success","failure"
"1",1,"australia",2,10
"2",2,"australia",7,5
"3",3,"australia",2,10
"4",4,"australia",2,10
"5",5,"australia",5,7
"6",6,"australia",4,8
"7",7,"australia",1,11
"8",8,"australia",2,10
"9",9,"australia",2,10
"10",10,"australia",1,11
"11",11,"australia",5,7
"12",12,"australia",2,10
"13",13,"australia",1,11
"14",14,"australia",3,9
"15",15,"australia",4,8
"16",16,"canada",4,8
"17",17,"canada",6,6
"18",18,"canada",3,9
"19",19,"canada",3,9
"20",20,"canada",9,3
"21",21,"canada",5,7
"22",22,"canada",7,5
"23",23,"canada",3,9
"24",24,"canada",6,6
"25",25,"canada",2,10
"26",26,"canada",2,10
"27",27,"canada",5,7
"28",28,"canada",2,10
"29",29,"canada",8,4
"30",30,"canada",3,9
"31",31,"argentina",9,3
"32",32,"argentina",3,9
"33",33,"argentina",2,10
"34",34,"argentina",6,6
"35",35,"argentina",1,11
"36",36,"argentina",6,6
"37",37,"argentina",1,11
"38",38,"argentina",7,5
"39",39,"argentina",5,7
"40",40,"argentina",5,7
"41",41,"argentina",10,2
"42",42,"argentina",3,9
"43",43,"argentina",3,9
"44",44,"argentina",4,8
"45",45,"argentina",1,11
"46",46,"china",5,7
"47",47,"china",4,8
"48",48,"china",1,11
"49",49,"china",7,5
"50",50,"china",5,7
"51",51,"china",3,9
"52",52,"china",6,6
"53",53,"china",5,7
"54",54,"china",4,8
"55",55,"china",7,5
"56",56,"china",8,4
"57",57,"china",11,1
"58",58,"china",5,7
"59",59,"china",12,0
"60",60,"china",3,9
